PRACTICE_CODE,GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PRACTICE_LIST_SIZE
A81001,AF,112.0,TOTAL,3996
A81001,AST,317.0,06OV,3766
A81001,CAN,131.0,TOTAL,3996
A81001,CHD,150.0,TOTAL,3996
A81001,CKD,93.0,18OV,3179
A81001,COPD,96.0,TOTAL,3996
A81001,DEM,22.0,TOTAL,3996
A81001,DEP,316.0,18OV,3179
A81001,DM,305.0,17OV,3233
A81001,EP,31.0,18OV,3179
A81001,HF,55.0,TOTAL,3996
A81001,HYP,616.0,TOTAL,3996
A81001,LD,28.0,TOTAL,3996
A81001,MH,52.0,TOTAL,3996
A81001,NDH,130.0,18OV,3179
A81001,OB,384.0,18OV,3179
A81001,OST,11.0,50OV,1683
A81001,PAD,31.0,TOTAL,3996
A81001,PC,38.0,TOTAL,3996
A81001,RA,24.0,16OV,3287
A81001,STIA,103.0,TOTAL,3996
A81002,AF,521.0,TOTAL,18315
A81002,AST,1313.0,06OV,17359
A81002,CAN,729.0,TOTAL,18315
A81002,CHD,865.0,TOTAL,18315
A81002,CKD,872.0,18OV,14914
A81002,COPD,880.0,TOTAL,18315
A81002,DEM,203.0,TOTAL,18315
A81002,DEP,3004.0,18OV,14914
A81002,DM,1275.0,17OV,15112
A81002,EP,159.0,18OV,14914
A81002,HF,237.0,TOTAL,18315
A81002,HYP,3396.0,TOTAL,18315
A81002,LD,107.0,TOTAL,18315
A81002,MH,180.0,TOTAL,18315
A81002,NDH,992.0,18OV,14914
A81002,OB,2575.0,18OV,14914
A81002,OST,113.0,50OV,8300
A81002,PAD,158.0,TOTAL,18315
A81002,PC,84.0,TOTAL,18315
A81002,RA,126.0,16OV,15326
A81002,STIA,512.0,TOTAL,18315
A81004,AF,271.0,TOTAL,11276
A81004,AST,674.0,06OV,10463
A81004,CAN,411.0,TOTAL,11276
A81004,CHD,395.0,TOTAL,11276
A81004,CKD,449.0,18OV,8903
A81004,COPD,273.0,TOTAL,11276
A81004,DEM,100.0,TOTAL,11276
A81004,DEP,987.0,18OV,8903
A81004,DM,703.0,17OV,9049
A81004,EP,80.0,18OV,8903
A81004,HF,131.0,TOTAL,11276
A81004,HYP,1741.0,TOTAL,11276
A81004,LD,91.0,TOTAL,11276
A81004,MH,74.0,TOTAL,11276
A81004,NDH,1019.0,18OV,8903
A81004,OB,1562.0,18OV,8903
A81004,OST,45.0,50OV,4244
A81004,PAD,57.0,TOTAL,11276
A81004,PC,63.0,TOTAL,11276
A81004,RA,75.0,16OV,9171
A81004,STIA,241.0,TOTAL,11276
A81005,AF,255.0,TOTAL,8005
A81005,AST,518.0,06OV,7647
A81005,CAN,432.0,TOTAL,8005
A81005,CHD,338.0,TOTAL,8005
A81005,CKD,135.0,18OV,6626
A81005,COPD,201.0,TOTAL,8005
A81005,DEM,100.0,TOTAL,8005
A81005,DEP,773.0,18OV,6626
A81005,DM,561.0,17OV,6721
A81005,EP,61.0,18OV,6626
A81005,HF,76.0,TOTAL,8005
A81005,HYP,1532.0,TOTAL,8005
A81005,LD,49.0,TOTAL,8005
A81005,MH,84.0,TOTAL,8005
A81005,NDH,613.0,18OV,6626
A81005,OB,927.0,18OV,6626
A81005,OST,42.0,50OV,4093
A81005,PAD,48.0,TOTAL,8005
A81005,PC,65.0,TOTAL,8005
A81005,RA,56.0,16OV,6824
A81005,STIA,222.0,TOTAL,8005
A81006,AF,381.0,TOTAL,14383
A81006,AST,1077.0,06OV,13515
A81006,CAN,480.0,TOTAL,14383
A81006,CHD,622.0,TOTAL,14383
A81006,CKD,376.0,18OV,11360
A81006,COPD,596.0,TOTAL,14383
A81006,DEM,156.0,TOTAL,14383
A81006,DEP,1934.0,18OV,11360
A81006,DM,1063.0,17OV,11526
A81006,EP,133.0,18OV,11360
A81006,HF,189.0,TOTAL,14383
A81006,HYP,2441.0,TOTAL,14383
A81006,LD,130.0,TOTAL,14383
A81006,MH,141.0,TOTAL,14383
A81006,NDH,899.0,18OV,11360
A81006,OB,1839.0,18OV,11360
A81006,OST,69.0,50OV,5770
A81006,PAD,129.0,TOTAL,14383
A81006,PC,109.0,TOTAL,14383
A81006,RA,95.0,16OV,11702
A81006,STIA,378.0,TOTAL,14383
A81007,AF,252.0,TOTAL,9953
A81007,AST,705.0,06OV,9392
A81007,CAN,397.0,TOTAL,9953
A81007,CHD,429.0,TOTAL,9953
A81007,CKD,381.0,18OV,7927
A81007,COPD,404.0,TOTAL,9953
A81007,DEM,103.0,TOTAL,9953
A81007,DEP,1629.0,18OV,7927
A81007,DM,686.0,17OV,8042
A81007,EP,81.0,18OV,7927
A81007,HF,123.0,TOTAL,9953
A81007,HYP,1671.0,TOTAL,9953
A81007,LD,69.0,TOTAL,9953
A81007,MH,102.0,TOTAL,9953
A81007,NDH,440.0,18OV,7927
A81007,OB,1123.0,18OV,7927
A81007,OST,6.0,50OV,4077
A81007,PAD,95.0,TOTAL,9953
A81007,PC,65.0,TOTAL,9953
A81007,RA,75.0,16OV,8166
A81007,STIA,264.0,TOTAL,9953
A81009,AF,192.0,TOTAL,8427
A81009,AST,562.0,06OV,7931
A81009,CAN,221.0,TOTAL,8427
A81009,CHD,285.0,TOTAL,8427
A81009,CKD,198.0,18OV,6685
A81009,COPD,207.0,TOTAL,8427
A81009,DEM,54.0,TOTAL,8427
A81009,DEP,525.0,18OV,6685
A81009,DM,623.0,17OV,6780
A81009,EP,98.0,18OV,6685
A81009,HF,82.0,TOTAL,8427
